CreationTime         LastWriteTime         FullName
------------         -------------         --------
5/3/2026 12:11:30 AM 5/2/2026 11:35:00 PM  C:\MGU\desk\library\infographics\math\systems-of-equations.png
5/3/2026 12:11:30 AM 5/2/2026 11:31:48 PM  C:\MGU\desk\library\infographics\math\linear-equations.png
5/3/2026 12:11:30 AM 5/2/2026 11:42:43 PM  C:\MGU\desk\library\infographics\math\derivatives.png
5/3/2026 12:11:30 AM 5/2/2026 11:37:25 PM  C:\MGU\desk\library\infographics\math\polar-coordinates.png
5/3/2026 12:11:30 AM 5/2/2026 11:46:54 PM  C:\MGU\desk\library\infographics\math\circles-and-transformations.png
5/3/2026 12:11:30 AM 5/2/2026 11:53:05 PM  C:\MGU\desk\library\infographics\math\statistics-cheat-sheet.png
5/3/2026 12:11:30 AM 5/2/2026 11:50:50 PM  C:\MGU\desk\library\infographics\math\normal-distribution.png
5/3/2026 12:11:30 AM 5/2/2026 11:50:57 PM  C:\MGU\desk\library\infographics\math\basic-probability.png
5/3/2026 12:11:30 AM 5/2/2026 11:59:25 PM  C:\MGU\desk\library\infographics\math\permutations.png
5/3/2026 12:11:30 AM 5/3/2026 12:02:51 AM  C:\MGU\desk\library\infographics\math\parts-of-a-parabola.png
5/3/2026 12:11:30 AM 5/3/2026 12:01:23 AM  C:\MGU\desk\library\infographics\math\completing-the-square.png
5/3/2026 12:11:30 AM 5/3/2026 12:05:10 AM  C:\MGU\desk\library\infographics\math\radical-expressions.png
5/3/2026 12:11:30 AM 5/3/2026 12:06:33 AM  C:\MGU\desk\library\infographics\math\exponetial-growth-and-decay-1.png
5/3/2026 12:11:30 AM 5/3/2026 12:08:55 AM  C:\MGU\desk\library\infographics\math\scientific-notations.png
5/3/2026 12:11:30 AM 5/3/2026 12:06:33 AM  C:\MGU\desk\library\infographics\math\exponetial-growth-and-decay-2.png
5/3/2026 12:11:30 AM 5/3/2026 12:08:27 AM  C:\MGU\desk\library\infographics\math\parametric-equations.png
5/3/2026 12:32:49 AM 5/3/2026 12:31:35 AM  C:\MGU\desk\library\infographics\math\number-sets.png
5/3/2026 12:32:49 AM 5/3/2026 12:31:41 AM  C:\MGU\desk\library\infographics\math\blackboard-letters.png
5/3/2026 12:42:31 AM 5/3/2026 12:41:55 AM  C:\MGU\desk\library\infographics\math\linear-programming.png
5/3/2026 12:49:52 AM 5/3/2026 12:49:53 AM  C:\MGU\desk\library\infographics\math\work-rate-problems.png
5/3/2026 1:00:28 AM  5/3/2026 1:00:28 AM   C:\MGU\desk\library\infographics\math\mixure-and-solution-problems.png
5/3/2026 1:02:19 AM  5/3/2026 1:02:19 AM   C:\MGU\desk\library\infographics\math\diophantine.png
5/3/2026 1:34:43 AM  5/3/2026 1:47:47 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_1...
5/3/2026 1:38:29 AM  5/3/2026 1:47:41 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_1...
5/3/2026 1:42:10 AM  5/3/2026 1:47:54 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_1...
5/3/2026 1:43:10 AM  5/3/2026 1:50:23 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_1...
5/3/2026 1:45:43 AM  5/3/2026 1:51:19 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 1:52:46 AM  5/3/2026 1:55:30 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 1:54:30 AM  5/3/2026 2:01:02 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\unit_3_r...
5/3/2026 1:58:13 AM  5/3/2026 5:18:29 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\part_2_t...
5/3/2026 2:05:29 AM  5/3/2026 2:05:44 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:06:10 AM  5/3/2026 2:08:13 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
