CreationTime          LastWriteTime         FullName
8/1/2026 10:57:45 PM  8/1/2026 10:57:45 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\civilian-p...
8/1/2026 11:05:55 PM  8/1/2026 11:07:47 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\police-mis...
8/1/2026 11:05:59 PM  8/1/2026 11:07:48 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\racial-pro...
8/1/2026 11:06:11 PM  8/1/2026 11:07:29 PM  C:\MGU\library\reference\fact-sheets\historical-events\minneapolis-third...
8/1/2026 11:12:11 PM  8/1/2026 11:15:11 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\institutio...
8/1/2026 11:12:18 PM  8/1/2026 11:15:07 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\pattern-or...
8/1/2026 11:20:55 PM  8/1/2026 11:20:58 PM  C:\MGU\library\reference\fact-sheets\historical-events\portland-federal-...
8/1/2026 11:21:12 PM  8/1/2026 11:21:14 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\systemic-r...
8/1/2026 11:27:43 PM  8/1/2026 11:27:44 PM  C:\MGU\library\reference\fact-sheets\historical-events\kenosha-protests....
8/1/2026 11:32:44 PM  8/1/2026 11:32:46 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\police-uni...
8/1/2026 11:34:49 PM  8/1/2026 11:34:50 PM  C:\MGU\library\reference\fact-sheets\historical-events\shooting-of-jacob...
8/1/2026 11:34:56 PM  8/1/2026 11:34:57 PM  C:\MGU\library\reference\fact-sheets\social-movements\say-her-name.html
8/1/2026 11:41:10 PM  8/1/2026 11:41:12 PM  C:\MGU\library\reference\fact-sheets\political-movements\all-lives-matte...
8/1/2026 11:41:36 PM  8/1/2026 11:41:37 PM  C:\MGU\library\reference\fact-sheets\laws-and-legislation\george-floyd-j...
8/1/2026 11:42:03 PM  8/1/2026 11:42:04 PM  C:\MGU\library\reference\fact-sheets\historical-events\capitol-hill-orga...
8/1/2026 11:51:40 PM  8/1/2026 11:51:41 PM  C:\MGU\library\reference\fact-sheets\historical-events\strike-for-black-...
8/1/2026 11:52:00 PM  8/1/2026 11:52:02 PM  C:\MGU\library\reference\fact-sheets\political-movements\blue-lives-matt...
8/1/2026 11:52:12 PM  8/1/2026 11:52:14 PM  C:\MGU\library\reference\fact-sheets\laws-and-legislation\executive-orde...
8/1/2026 11:58:42 PM  8/1/2026 11:58:43 PM  C:\MGU\library\reference\fact-sheets\historical-events\confederate-monum...
8/2/2026 12:03:55 AM  8/2/2026 12:03:57 AM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\federal-ci...
8/2/2026 12:08:03 AM  8/2/2026 12:08:05 AM  C:\MGU\library\reference\fact-sheets\historical-events\covid-19-and-the-...
8/2/2026 12:11:55 AM  8/2/2026 12:11:56 AM  C:\MGU\library\reference\fact-sheets\legal-cases\united-states-v-chauvin...
8/2/2026 12:17:57 AM  8/2/2026 1:04:44 AM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\war-on-dru...
8/2/2026 12:23:54 AM  8/2/2026 12:23:58 AM  C:\MGU\library\reference\fact-sheets\legal-cases\state-of-minnesota-v-ch...
